2017-02-15 20:17:10 status unpacked liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
2017-02-15 20:17:10 install libmount1:arm64 <none> 2.27.1-6ubuntu3
2017-02-15 20:17:10 status half-installed libmount1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:10 status unpacked libmount1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:10 status unpacked libmount1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:10 install libncurses5:arm64 <none> 6.0+20160213-1ubuntu1
2017-02-15 20:17:10 status half-installed libncurses5:arm64 6.0+20160213-1ubuntu1
2017-02-15 20:17:10 status unpacked libncurses5:arm64 6.0+20160213-1ubuntu1
2017-02-15 20:17:10 status unpacked libncurses5:arm64 6.0+20160213-1ubuntu1
2017-02-15 20:17:10 install libncursesw5:arm64 <none> 6.0+20160213-1ubuntu1
2017-02-15 20:17:10 status half-installed libncursesw5:arm64 6.0+20160213-1ubuntu1
2017-02-15 20:17:11 status unpacked libncursesw5:arm64 6.0+20160213-1ubuntu1
2017-02-15 20:17:11 status unpacked libncursesw5:arm64 6.0+20160213-1ubuntu1
2017-02-15 20:17:11 install libpam-modules:arm64 <none> 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status half-installed libpam-modules:arm64 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status unpacked libpam-modules:arm64 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status unpacked libpam-modules:arm64 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 install libpam-modules-bin:arm64 <none> 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status half-installed libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status unpacked libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status unpacked libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 install libpam0g:arm64 <none> 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status half-installed libpam0g:arm64 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status unpacked libpam0g:arm64 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 status unpacked libpam0g:arm64 1.1.8-3.2ubuntu2
2017-02-15 20:17:11 install libpcre3:arm64 <none> 2:8.38-3.1
2017-02-15 20:17:11 status half-installed libpcre3:arm64 2:8.38-3.1
2017-02-15 20:17:11 status unpacked libpcre3:arm64 2:8.38-3.1
2017-02-15 20:17:11 status unpacked libpcre3:arm64 2:8.38-3.1
2017-02-15 20:17:11 install libprocps4:arm64 <none> 2:3.3.10-4ubuntu2
2017-02-15 20:17:11 status half-installed libprocps4:arm64 2:3.3.10-4ubuntu2
2017-02-15 20:17:11 status unpacked libprocps4:arm64 2:3.3.10-4ubuntu2
2017-02-15 20:17:11 status unpacked libprocps4:arm64 2:3.3.10-4ubuntu2
2017-02-15 20:17:11 install libseccomp2:arm64 <none> 2.2.3-3ubuntu3
2017-02-15 20:17:11 status half-installed libseccomp2:arm64 2.2.3-3ubuntu3
2017-02-15 20:17:11 status unpacked libseccomp2:arm64 2.2.3-3ubuntu3
2017-02-15 20:17:11 status unpacked libseccomp2:arm64 2.2.3-3ubuntu3
2017-02-15 20:17:11 install libselinux1:arm64 <none> 2.4-3build2
2017-02-15 20:17:11 status half-installed libselinux1:arm64 2.4-3build2
2017-02-15 20:17:11 status unpacked libselinux1:arm64 2.4-3build2
2017-02-15 20:17:11 status unpacked libselinux1:arm64 2.4-3build2
2017-02-15 20:17:11 install libsemanage-common:all <none> 2.3-1build3
2017-02-15 20:17:11 status half-installed libsemanage-common:all 2.3-1build3
