2017-04-12 03:04:56 install libncurses5:arm64 <none> 6.0+20160625-1ubuntu1
2017-04-12 03:04:56 status half-installed libncurses5:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:56 status unpacked libncurses5:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:56 status unpacked libncurses5:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:56 install libncursesw5:arm64 <none> 6.0+20160625-1ubuntu1
2017-04-12 03:04:56 status half-installed libncursesw5:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:56 status unpacked libncursesw5:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:56 status unpacked libncursesw5:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:56 install libpam-modules:arm64 <none> 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status half-installed libpam-modules:arm64 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status unpacked libpam-modules:arm64 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status unpacked libpam-modules:arm64 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 install libpam-modules-bin:arm64 <none> 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status half-installed libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status unpacked libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status unpacked libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 install libpam0g:arm64 <none> 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status half-installed libpam0g:arm64 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status unpacked libpam0g:arm64 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 status unpacked libpam0g:arm64 1.1.8-3.2ubuntu2
2017-04-12 03:04:56 install libpcre3:arm64 <none> 2:8.39-3
2017-04-12 03:04:56 status half-installed libpcre3:arm64 2:8.39-3
2017-04-12 03:04:56 status unpacked libpcre3:arm64 2:8.39-3
2017-04-12 03:04:56 status unpacked libpcre3:arm64 2:8.39-3
2017-04-12 03:04:56 install libprocps6:arm64 <none> 2:3.3.12-1ubuntu2
2017-04-12 03:04:56 status half-installed libprocps6:arm64 2:3.3.12-1ubuntu2
2017-04-12 03:04:56 status unpacked libprocps6:arm64 2:3.3.12-1ubuntu2
2017-04-12 03:04:56 status unpacked libprocps6:arm64 2:3.3.12-1ubuntu2
2017-04-12 03:04:56 install libselinux1:arm64 <none> 2.6-3
2017-04-12 03:04:56 status half-installed libselinux1:arm64 2.6-3
2017-04-12 03:04:56 status unpacked libselinux1:arm64 2.6-3
2017-04-12 03:04:56 status unpacked libselinux1:arm64 2.6-3
2017-04-12 03:04:56 install libsemanage-common:all <none> 2.6-2
2017-04-12 03:04:56 status half-installed libsemanage-common:all 2.6-2
2017-04-12 03:04:56 status unpacked libsemanage-common:all 2.6-2
2017-04-12 03:04:56 status unpacked libsemanage-common:all 2.6-2
2017-04-12 03:04:57 install libsemanage1:arm64 <none> 2.6-2
2017-04-12 03:04:57 status half-installed libsemanage1:arm64 2.6-2
2017-04-12 03:04:57 status unpacked libsemanage1:arm64 2.6-2
2017-04-12 03:04:57 status unpacked libsemanage1:arm64 2.6-2
2017-04-12 03:04:57 install libsepol1:arm64 <none> 2.6-2
2017-04-12 03:04:57 status half-installed libsepol1:arm64 2.6-2
2017-04-12 03:04:57 status unpacked libsepol1:arm64 2.6-2
2017-04-12 03:04:57 status unpacked libsepol1:arm64 2.6-2
2017-04-12 03:04:57 install libsmartcols1:arm64 <none> 2.29-1ubuntu2
2017-04-12 03:04:57 status half-installed libsmartcols1:arm64 2.29-1ubuntu2
2017-04-12 03:04:57 status unpacked libsmartcols1:arm64 2.29-1ubuntu2
2017-04-12 03:04:57 status unpacked libsmartcols1:arm64 2.29-1ubuntu2
2017-04-12 03:04:57 install libss2:arm64 <none> 1.43.4-2
2017-04-12 03:04:57 status half-installed libss2:arm64 1.43.4-2
2017-04-12 03:04:57 status unpacked libss2:arm64 1.43.4-2
2017-04-12 03:04:57 status unpacked libss2:arm64 1.43.4-2
2017-04-12 03:04:57 install libsystemd0:arm64 <none> 232-21ubuntu2
2017-04-12 03:04:57 status half-installed libsystemd0:arm64 232-21ubuntu2
2017-04-12 03:04:57 status unpacked libsystemd0:arm64 232-21ubuntu2
2017-04-12 03:04:57 status unpacked libsystemd0:arm64 232-21ubuntu2
2017-04-12 03:04:57 install libtinfo5:arm64 <none> 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 status half-installed libtinfo5:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 status unpacked libtinfo5:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 status unpacked libtinfo5:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 install libudev1:arm64 <none> 232-21ubuntu2
2017-04-12 03:04:57 status half-installed libudev1:arm64 232-21ubuntu2
2017-04-12 03:04:57 status unpacked libudev1:arm64 232-21ubuntu2
2017-04-12 03:04:57 status unpacked libudev1:arm64 232-21ubuntu2
2017-04-12 03:04:57 install libustr-1.0-1:arm64 <none> 1.0.4-6
2017-04-12 03:04:57 status half-installed libustr-1.0-1:arm64 1.0.4-6
2017-04-12 03:04:57 status unpacked libustr-1.0-1:arm64 1.0.4-6
2017-04-12 03:04:57 status unpacked libustr-1.0-1:arm64 1.0.4-6
2017-04-12 03:04:57 install libuuid1:arm64 <none> 2.29-1ubuntu2
2017-04-12 03:04:57 status half-installed libuuid1:arm64 2.29-1ubuntu2
2017-04-12 03:04:57 status unpacked libuuid1:arm64 2.29-1ubuntu2
2017-04-12 03:04:57 status unpacked libuuid1:arm64 2.29-1ubuntu2
2017-04-12 03:04:57 install login:arm64 <none> 1:4.2-3.2ubuntu1
2017-04-12 03:04:57 status half-installed login:arm64 1:4.2-3.2ubuntu1
2017-04-12 03:04:57 status unpacked login:arm64 1:4.2-3.2ubuntu1
2017-04-12 03:04:57 status unpacked login:arm64 1:4.2-3.2ubuntu1
2017-04-12 03:04:57 install lsb-base:all <none> 9.20160110ubuntu5
2017-04-12 03:04:57 status half-installed lsb-base:all 9.20160110ubuntu5
2017-04-12 03:04:57 status unpacked lsb-base:all 9.20160110ubuntu5
2017-04-12 03:04:57 status unpacked lsb-base:all 9.20160110ubuntu5
2017-04-12 03:04:57 upgrade mawk:arm64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2017-04-12 03:04:57 status half-configured mawk:arm64 1.3.3-17ubuntu2
2017-04-12 03:04:57 status unpacked mawk:arm64 1.3.3-17ubuntu2
2017-04-12 03:04:57 status half-installed mawk:arm64 1.3.3-17ubuntu2
2017-04-12 03:04:57 status half-installed mawk:arm64 1.3.3-17ubuntu2
2017-04-12 03:04:57 status unpacked mawk:arm64 1.3.3-17ubuntu2
2017-04-12 03:04:57 status unpacked mawk:arm64 1.3.3-17ubuntu2
2017-04-12 03:04:57 install mount:arm64 <none> 2.29-1ubuntu2
2017-04-12 03:04:57 status half-installed mount:arm64 2.29-1ubuntu2
2017-04-12 03:04:57 status unpacked mount:arm64 2.29-1ubuntu2
2017-04-12 03:04:57 status unpacked mount:arm64 2.29-1ubuntu2
2017-04-12 03:04:57 install multiarch-support:arm64 <none> 2.24-9ubuntu2
2017-04-12 03:04:57 status half-installed multiarch-support:arm64 2.24-9ubuntu2
2017-04-12 03:04:57 status unpacked multiarch-support:arm64 2.24-9ubuntu2
2017-04-12 03:04:57 status unpacked multiarch-support:arm64 2.24-9ubuntu2
2017-04-12 03:04:57 install ncurses-base:all <none> 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 status half-installed ncurses-base:all 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 status unpacked ncurses-base:all 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 status unpacked ncurses-base:all 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 install ncurses-bin:arm64 <none> 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 status half-installed ncurses-bin:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 status unpacked ncurses-bin:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 status unpacked ncurses-bin:arm64 6.0+20160625-1ubuntu1
2017-04-12 03:04:57 install passwd:arm64 <none> 1:4.2-3.2ubuntu1
2017-04-12 03:04:57 status half-installed passwd:arm64 1:4.2-3.2ubuntu1
2017-04-12 03:04:58 status unpacked passwd:arm64 1:4.2-3.2ubuntu1
2017-04-12 03:04:58 status unpacked passwd:arm64 1:4.2-3.2ubuntu1
2017-04-12 03:04:58 upgrade perl-base:arm64 5.24.1-2ubuntu1 5.24.1-2ubuntu1
2017-04-12 03:04:58 status half-configured perl-base:arm64 5.24.1-2ubuntu1
2017-04-12 03:04:58 status unpacked perl-base:arm64 5.24.1-2ubuntu1
2017-04-12 03:04:58 status half-installed perl-base:arm64 5.24.1-2ubuntu1
2017-04-12 03:04:58 status half-installed perl-base:arm64 5.24.1-2ubuntu1
2017-04-12 03:04:58 status unpacked perl-base:arm64 5.24.1-2ubuntu1
2017-04-12 03:04:58 status unpacked perl-base:arm64 5.24.1-2ubuntu1
2017-04-12 03:04:58 install procps:arm64 <none> 2:3.3.12-1ubuntu2
2017-04-12 03:04:58 status half-installed procps:arm64 2:3.3.12-1ubuntu2
2017-04-12 03:04:58 status unpacked procps:arm64 2:3.3.12-1ubuntu2
2017-04-12 03:04:58 status unpacked procps:arm64 2:3.3.12-1ubuntu2
2017-04-12 03:04:58 install sed:arm64 <none> 4.4-1
2017-04-12 03:04:58 status half-installed sed:arm64 4.4-1
2017-04-12 03:04:58 status unpacked sed:arm64 4.4-1
2017-04-12 03:04:58 status unpacked sed:arm64 4.4-1
2017-04-12 03:04:58 install sensible-utils:all <none> 0.0.9
